the_geom,objectid,station_id,lat,lon,borough,name,cartodb_id,created_at,updated_at
0101000020E610000086B62957EE7E52C038C7449BF75B4440,98,349,40.71850211,-73.98329859,Manhattan,349,98,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E61000006D4BBB772B7F52C0BBDA6D59985B4440,99,350,40.71559509,-73.9870295,Manhattan,350,99,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E61000009AB00E57648052C09E8B0150475A4440,100,351,40.70530954,-74.00612572,Manhattan,351,100,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000ADD8CBD38A7E52C0C3686A05B7614440,101,352,40.76340613,-73.97722479,Manhattan,352,101,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000F78B04C7FB7F52C0AE77BB4FA65B4440,102,355,40.71602118,-73.99974372,Manhattan,355,102,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000DFC8A517E37E52C092EB9209AD5B4440,103,356,40.71622644,-73.98261206,Manhattan,356,103,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000C581B407767F52C0643DD426C65D4440,104,357,40.73261787,-73.99158043,Manhattan,357,104,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E610000055428687748052C0E0D3C8E7CF5D4440,105,358,40.73291553,-74.00711384,Manhattan,358,105,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E61000007917A929667E52C00168F6EEA6604440,106,359,40.75510267,-73.97498696,Manhattan,359,106,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E61000006983515A918052C0D4FE2F95845A4440,107,360,40.70717936,-74.00887308,Manhattan,360,107,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E610000018B7E9637B7F52C0EA38228AA75B4440,108,361,40.71605866,-73.99190759,Manhattan,361,108,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000755CE7C0337F52C007C8174C38604440,109,362,40.75172632,-73.98753523,Manhattan,362,109,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000560D01B5188152C02D30E4D7AA5A4440,110,363,40.70834698,-74.01713445,Manhattan,363,110,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000A93CFCD41F7E52C0D872C8110F614440,111,367,40.75828065,-73.97069431,Manhattan,367,111,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000DC562C33238052C0487177047D5D4440,112,368,40.73038599,-74.00214988,Manhattan,368,112,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E610000037ECF84C048052C0CF8203CFB95D4440,113,369,40.73224119,-74.00026394,Manhattan,369,113,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E61000001C6F3F05CE7F52C000BD3555075D4440,114,375,40.72679454,-73.99695094,Manhattan,375,114,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E61000007F6E574B768052C0707A3AD6B35A4440,115,376,40.70862144,-74.00722156,Manhattan,376,115,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E61000001DCB43C85C8052C0740DA893785C4440,116,377,40.72243797,-74.00566443,Manhattan,377,116,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E61000007B61C859767F52C09292B012E45F4440,117,379,40.749156,-73.9916,Manhattan,379,117,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000ED350520308052C09C7CDBD0F35D4440,118,380,40.73401143,-74.00293877,Manhattan,380,118,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000CC1CDBFC7C7F52C0F107CBD0115E4440,119,382,40.73492695,-73.99200509,Manhattan,382,119,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000ADB3946A048052C0125811021C5E4440,120,383,40.735238,-74.000271,Manhattan,383,120,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E61000000F4E6076D37D52C0DC13DFFE04614440,121,385,40.75797322,-73.96603308,Manhattan,385,121,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E61000009F18D164268052C0FE8BD625835B4440,122,386,40.71494807,-74.00234482,Manhattan,386,122,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000626158764B8052C08BB7A28D3A5B4440,123,387,40.71273266,-74.0046073,Manhattan,387,123,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000B4219150308052C01720047BF65F4440,124,388,40.749717753,-74.002950346,Manhattan,388,124,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000D8EAB48DB77E52C0A48EDCBB8A5C4440,125,393,40.72299208,-73.97995466,Manhattan,393,125,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000E8D3A268927E52C033E33483D35C4440,126,394,40.72521311,-73.97768752,Manhattan,394,126,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E610000027D3BE76D57E52C05ABDB577105C4440,127,400,40.71926081,-73.98178024,Manhattan,400,127,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000DD49ADC75B7F52C01171A21A2F5C4440,128,401,40.72019576,-73.98997825,Manhattan,401,128,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000C9EC08C8547F52C0AAB6934BC35E4440,129,402,40.7403432,-73.98955109,Manhattan,402,129,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000C7087C8C677F52C0745AC678CD5C4440,130,403,40.72502876,-73.99069656,Manhattan,403,130,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E61000008405F43A5A8052C03974D123CB5E4440,131,404,40.7405826,-74.00550867,Manhattan,404,131,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E610000075A978FF848052C0447188DDA15E4440,132,405,40.739323,-74.008119,Manhattan,405,132,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E61000002714D0BC9D7F52C0FA89E2FCF95A4440,133,408,40.71076228,-73.99400398,Manhattan,408,133,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000B8E166290D7F52C0B2020B763E5C4440,134,410,40.72066442,-73.98517977,Manhattan,410,134,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
